速度超過高速道路３５以上４０未満,40,35,30,20,20,速度
速度超過高速道路３０以上３５未満,30,25,20,15,15,速度
速度超過２５以上３０未満,25,18,15,12,12,速度
速度超過２０以上２５未満,20,15,12,10,10,速度
速度超過１５以上２０未満,15,12,9,7,7,速度
速度超過１５未満,12,9,7,6,6,速度
最低速度違反,7,6,6,5,0,速度
通行区分違反,12,9,7,6,6,通行方法
追越し違反,12,9,7,6,6,通行方法
交差点安全進行義務違反,12,9,7,6,6,通行方法
通行禁止違反,9,7,6,5,5,通行方法
徐行場所違反,9,7,6,5,5,通行方法
通行帯違反,7,6,6,5,5,通行方法
路線バス等優先通行帯違反,7,6,6,5,0,通行方法
進路変更禁止違反,7,6,6,5,5,通行方法
指定通行区分違反,7,6,6,5,5,通行方法
交差点等進入禁止違反,7,6,6,5,5,通行方法
牽引自動車本線車道通行帯違反,7,6,0,0,0,通行方法
軌道敷内違反,6,4,4,3,3,通行方法
本線車道出入方法違反,6,4,4,3,0,通行方法
高速自動車国道等車間距離不保持違反,12,9,7,6,6,車間・徐行・右左折
歩行者用道路徐行違反,9,7,6,5,5,車間・徐行・右左折
歩行者側方安全間隔不保持等違反,9,7,6,5,5,車間・徐行・右左折
安全地帯徐行違反,9,7,6,5,5,車間・徐行・右左折
車間距離不保持違反,7,6,6,5,5,車間・徐行・右左折
道路外出右左折方法違反,6,4,4,3,3,車間・徐行・右左折
交差点右左折方法違反,6,4,4,3,3,車間・徐行・右左折
安全運転義務違反,12,9,7,6,6,義務違反
追いつかれた車両の義務違反,7,6,6,5,5,義務違反
減光等義務違反,7,6,6,5,5,義務違反
合図不履行違反,7,6,6,5,5,義務違反
警音器吹鳴義務違反,7,6,6,5,5,義務違反
転落等防止措置義務違反,7,6,6,5,5,義務違反
転落積載物等危険防止措置義務違反,7,6,6,5,5,義務違反
停止措置義務違反,7,6,6,5,5,義務違反
初心運転者等保護義務違反,7,6,6,5,0,義務違反
故障車両表示義務違反,7,6,6,5,0,義務違反
仮免許練習標識表示義務違反,7,6,0,0,0,義務違反
初心運転者標識表示義務違反,0,4,0,0,0,義務違反
聴覚障害者標識表示義務違反,0,4,0,0,0,義務違反
免許条件違反,9,7,6,5,5,条件違反
牽引違反,7,6,6,5,0,条件違反
通行許可条件違反,6,4,4,3,3,条件違反
制限外許可条件違反,6,4,4,3,3,条件違反
原付牽引違反,0,0,0,0,3,条件違反
免許証不携帯,3,3,3,3,3,条件違反
整備不良制動装置等違反,12,9,7,6,6,整備不良
整備不良尾灯等違反,9,7,6,5,5,整備不良
消音器不備違反,7,6,6,5,5,整備不良
運行記録計不備違反,6,4,0,0,0,整備不良
携帯電話使用等（交通の危険）違反,12,9,7,6,6,携帯
携帯電話使用等（保持）違反,7,6,6,5,5,携帯
横断歩行者等妨害等違反,12,9,7,6,6,妨害・横断違反
本線車道横断等禁止違反,12,9,7,6,0,妨害・横断違反
法定横断等禁止違反,9,7,6,5,5,妨害・横断違反
優先道路通行車妨害等違反,9,7,6,5,5,妨害・横断違反
幼児等通行妨害違反,9,7,6,5,5,妨害・横断違反
道路外出右左折合図車妨害違反,7,6,6,5,5,妨害・横断違反
指定横断等禁止違反,7,6,6,5,5,妨害・横断違反
乗合自動車発進妨害違反,7,6,6,5,5,妨害・横断違反
交差点右左折等合図車妨害違反,7,6,6,5,5,妨害・横断違反
交差点優先車妨害違反,7,6,6,5,5,妨害・横断違反
緊急車妨害等違反,7,6,6,5,5,妨害・横断違反
本線車道通行車妨害違反,7,6,6,5,0,妨害・横断違反
本線車道緊急車妨害違反,7,6,6,5,0,妨害・横断違反
信号無視（赤色等）違反,12,9,7,6,6,信号・停止
信号無視（点滅）違反,9,7,6,5,5,信号・停止
しゃ断踏切立入り違反,15,12,9,7,7,信号・停止
踏切不停止等違反,12,9,7,6,6,信号・停止
路面電車後方不停止違反,9,7,6,5,5,信号・停止
指定場所一時不停止等違反,9,7,6,5,5,信号・停止
積載物重量制限超過普通等１０割以上,0,35,30,25,25,乗車・積載・重量
積載物重量制限超過５割以上１０割未満,40,30,25,20,20,乗車・積載・重量
積載物重量制限超過５割未満,30,25,20,15,15,乗車・積載・重量
積載物大きさ制限超過違反,9,7,6,5,5,乗車・積載・重量
積載方法制限超過違反,9,7,6,5,5,乗車・積載・重量
乗車積載方法違反,7,6,6,5,5,乗車・積載・重量
定員外乗車違反,7,6,6,5,5,乗車・積載・重量
大型自動二輪車等乗車方法違反,0,0,12,0,0,乗車・積載・重量
高速自動車国道等運転者遵守事項違反,12,9,7,6,0,その他
急ブレーキ禁止違反,9,7,6,5,5,その他
割込み等違反,7,6,6,5,5,その他
無灯火違反,7,6,6,5,5,その他
合図制限違反,7,6,6,5,5,その他
泥はね運転違反,7,6,6,5,5,その他
安全不確認ドア開放等違反,7,6,6,5,5,その他
騒音運転等違反,7,6,6,5,5,その他
公安委員会遵守事項違反,7,6,6,5,5,その他
警音器使用制限違反,3,3,3,3,3,その他